name,party,votes,ward,status,constituency
MARIEESWARI M,Independent,1110,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SANKARANARAYANAN N,Independent,998,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SELVAKUMAR M,Independent,902,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
MUTHUKANNU C,Tamilaga Makkal Nala Katchi,761,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
MARISELVAM S,All India People Development Party,711,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
JEYARAJ T,Independent,610,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
VEDHA @  DHAMODHARAN,Independent,600,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
RAJAGOPAL S,Independent,527,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
GANESHAMOORTHI G,Independent,460,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
NOTA,None of the Above,9408,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
